Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Anelloviridae,Gyrovirus,Avian gyrovirus,N,Y,N,Y,,Rijswijk_2011_ArchVirol,Y
Anelloviridae,Gyrovirus,Chicken anemia virus,Y,Y,?,Y,,Schat_2009_CurrTopMicro,Y
Anelloviridae,Gyrovirus,Gyrovirus 10,N,Y,N,Y,,Goldberg_2018_Virology,N
Anelloviridae,Gyrovirus,Gyrovirus 11 ,N,Y,N,N,,Truchado_2019_Viruses,N
Anelloviridae,Gyrovirus,Gyrovirus 3,N,Y,N,N,,Zhang_2014_Virology,N
Anelloviridae,Gyrovirus,Gyrovirus 4,N,Y,?,N,,Chu_2012_JClinVirol,N
Anelloviridae,Gyrovirus,Gyrovirus 7,N,Y,N,N,,Zhang_2014_Virology,N
Anelloviridae,Gyrovirus,Gyrovirus 8,N,Y,N,Y,,Li_2015_ArchVirol,N
Anelloviridae,Gyrovirus,Human Gyrovirus 1,N,Y,N,N,,Zhang_2014_Virology,Y
Anelloviridae,Unassigned,Brazilian bird anellovirus type 1,N,Y,N,N,,Duarte_2019_Viruses,N
Anelloviridae,Unassigned,Brazilian bird anellovirus type 2,N,Y,N,N,,Duarte_2019_Viruses,N
Anelloviridae,Unassigned,Brazilian bird anellovirus type 3,N,Y,N,N,,Duarte_2019_Viruses,N
Astroviridae,Avastrovirus,Astrovirus 1 (Turkey Astrovirus),Y,Y,Y,Y,,Donato_2017_Viruses; Meliplous_2014_PloS,Y
Astroviridae,Avastrovirus,Astrovirus 2 (Avian Nephritis Virus),Y,Y,N,Y,,Donato_2017_Viruses,Y
Astroviridae,Avastrovirus,Astrovirus 3 (Duck Astrovirus),Y,Y,N,Y,,Donato_2017_Viruses,Y
Astroviridae,Avastrovirus,Astrovirus 4 (previously Astrovirus 3),N,Y,N,N,,Chu_2012_JVI,N
Astroviridae,Avastrovirus,Astrovirus 5 (Passerine Astrovirus),N,Y,N,N,,Fernandez-Correa_2019_SciRep,N
Astroviridae,Avastrovirus,Avocet Astrovirus,N,Y,N,N,,Wille_2018_Mol Ecol,N
Astroviridae,Avastrovirus,Feral/Wood Pigeon Astrovirus,N,Y,N,N,,Kofstad_2011_PloS,N
Astroviridae,Avastrovirus,Passerine Astrovirus,N,Y,N,N,,Mendenhall_2015_VirolJ,N
