Virus Family,Virus Genus,Virus Species,Host,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Ratified by ICTV,Notes,Refs?
Astroviridae,Unassigned,Wenling rattails astrovirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling rattails astrovirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling rattails astrovirus 4,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling rattails astrovirus 5,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling righteye flounders astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling snipefish astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenling yellow-striped sandperch astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenzhou pacific spadenose shark astrovirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wenzhou pacific spadenose shark astrovirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Western African lungfish astro-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wuhan astro-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Wuhan japanese halfbeak astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Astroviridae,Unassigned,Yancheng grey stingfish astrovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Birnaviridae,Aquabirnavirus,Infectious pancreatic necrosis,Fish,Y,Y,N,Y,Y,,Dobos_1960_AnnRevFishDis
Birnaviridae,Aquabirnavirus,Yellowtail ascites virus,Fish,Y,Y,N,Y,Y,,Hirayama_2007_MicrobiolImmunol
Birnaviridae,Unassigned,Wenling jack mackerels birnavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Birnaviridae,Unassigned,Wenling japanese topeshark birnavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Bornaviridae,Unassigned,Wuhan sharpbelly bornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Beihai conger calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Beihai fish calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Beihai rabbitfish calicivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Beihai rabbitfish calicivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Beihai yellowfin seabream calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Dongbei arctic lamprey calicivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Dongbei arctic lamprey calicivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Guangdong pseudohemiculter dispar calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling callionymus kaianus calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling rattails calicivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling rattails calicivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling rattails calicivirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling sharpspine skate calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wenling yellow goosefish calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wuhan carp calicivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wuhan carp calicivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wuhan sharpbelly calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wuhan spiny eel calicivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Wuhan spiny eel calicivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Caliciviridae,Unassigned,Yancheng osbecks grenadier anchovy calicivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Circoviridae,Circovirus,Barbel cirovirus,Fish,N,Y,N,Y,Y,,Lorincz_2011_JGenVirol
Circoviridae,Circovirus,Catfish circovirus,Fish,N,Y,N,Y,Y,,Lorincz_2012_ArchVirol
Filoviridae,Unassigned,Ahab virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Filoviridae,Unassigned,Starbuck virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Filoviridae,Unassigned,Wenling frogfish filovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Filoviridae,Unassigned,Wenling thamnaconus septentrionalis filovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Flavivirus,Wenzhou shark flavivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Guangxi houndshark hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Nanhai dogfish shark hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Nanhai ghost shark hepacivirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Nanhai ghost shark hepacivirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Wenling moray eel hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Wenling shark virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Western African lungfish hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Xiamen guitarfish hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Hepacivirus,Xiamen sepia Stingray hepacivirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Unassigned,Eastern red scorpionfish flavivirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Flaviviridae,Unassigned,Ishmael virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Flaviviridae,Unassigned,Nanhai dogfish shark pesti-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Unassigned,Wenling pesti-like virus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Unassigned,Wenzhou pesti-like virus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Flaviviridae,Unassigned,Xiamen fanray pesti-like virus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hantaviridae,Unassigned,Aronnax virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hantaviridae,Unassigned,Wenling hagfish hantavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hantaviridae,Unassigned,Wenling minipizza batfish hantavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hantaviridae,Unassigned,Wenling red spikefish hantavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hantaviridae,Unassigned,Wenling yellow goosefish hantavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Hepadnaviridae,Nackednavirus,Baby whale nakednavirus -1,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Nackednavirus,Blufin killfish hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Nackednavirus,Bonito hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hepadnaviridae,Nackednavirus,Eastern school whiting hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hepadnaviridae,Nackednavirus,Sockeye salmon hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Nackednavirus,Three spined stickleback hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Nackednavirus,Western mosquitofish hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Nackednavirus,Yellow drum hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,African cichlid hepadnavirus,Fish,N,Y,N,N,N,,Dill_2016_JVI
Hepadnaviridae,Unassigned,Astatotilapia metahepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Astatotilapia nackednavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Australasian snapper hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Hepadnaviridae,Unassigned,Baby whale nackadnavirus -2 ,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Metahepadnavirus,Bluegill hepadnavirus,Fish,N,Y,N,N,Y,,Dill_2016_JVI
Hepadnaviridae,Unassigned,Coho salmon hepadnavirus (Coho salmon kidney virus),Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Daggoo virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hepadnaviridae,Unassigned,Eastern sea garfish hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Hepadnaviridae,Unassigned,European eel nackednavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Icefish metahepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Ludrick hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Hepadnaviridae,Unassigned,Queequeg virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hepadnaviridae,Unassigned,Rainwater killfish hepadnavirus,Fish,N,Y,N,N,N,,Lauber_2017_Cell
Hepadnaviridae,Unassigned,Sand whiting hepadnavirus,Fish,N,Y,N,N,N,,Geoghan_2018_VirusEvol
Hepadnaviridae,Unassigned,Stubb virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Hepadnaviridae,Unassigned,Tashtego virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
