Virus Family,Virus Genus,Virus Species,Host,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Ratified by ICTV,Notes,Refs?
Reoviridae,Orthoreovirus,Wenling minipizza batfish reovirus 4,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Wenzhou pacific spadenose shark reovirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Wenzhou pacific spadenose shark reovirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Western African lungfish reovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Rotavirus,Nanhai dogfish shark rotavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Rotavirus,Wenling jack mackerels rotavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Rotavirus,Wenzhou pacific spadenose shark rotavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Unassigned,Ariel virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Reoviridae,Unassigned,Balaton Virus (Banna like virus),Fish,N,Y,N,Y,N,,Reuter_2013_ArchVirol
Reoviridae,Unassigned,Piscine orthoreovirus 2,Fish,N,Y,N,Y,N,,Takano_2016_PloS
Reoviridae,Unassigned,Piscine orthoreovirus 3,Fish,N,Y,N,Y,N,,Garset_2019_JFishDis
Reoviridae,Unassigned,Wenling scaldfish reovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Retroviridae,Epsilonretrovirus,Walleye epidermal hyperplasia virus 1,Fish,Y,Y,N,Y,Y,,LaPierre_1998_JVI
Retroviridae,Epsilonretrovirus,Walleye epidermal hyperplasia virus 2,Fish,Y,Y,N,Y,Y,,LaPierre_1998_JVI
Rhabdoviridae,Novirhabdovirus,Infectious hematopoietic necrosis virus (Salmonid novirhabdovirus ),Fish,Y,Y,N,Y,Y,,Morzunov_1995_VirusResearch
Rhabdoviridae,Novirhabdovirus,Snakehead rhabdovirus (Snakehead novirhabdovirus),Fish,Y,Y,N,Y,Y,,Kasornchandra_1992_DisAquatiOrganis
Rhabdoviridae,Novirhabdovirus,Viral hemorrhagic septicemia virus (Piscine novirhabdovirus),Fish,Y,Y,N,Y,Y,,Meyers_1995_AnnRevFishDis
Rhabdoviridae,Sprivivirus,Carp sprivivirus (Spring viremia of carp),Fish,Y,Y,N,Y,Y,,Ashraf_2016_JGenvVirol
Rhabdoviridae,Sprivivirus,"Pike Fry sprivirus (Grass carp virus, Tench rhabdovirus)",Fish,Y,Y,N,Y,Y,"old virus, only recently sequenced",Chen_2009_ArchVirol
Rhabdoviridae,Novirhabdovirus,Hirame rhabdovirus,Fish,Y,Y,N,Y,Y,,Kim_2005_VirusRes
Rhabdoviridae,Perhabdovirus,Lake trout rhabdovirus (Seatrout Perhabdovirus),Fish,Y,Y,N,N,Y,,Amarasinghe_2019_ArchVirol_ICTV
Rhabdoviridae,Perhabdovirus,Perch perhabdovirus,Fish,Y,Y,N,N,Y,,Johanssen_2002_VirusGenes
Rhabdoviridae,Unassigned,Pip virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Rhabdoviridae,Unassigned,Turbot flatfish rhabdovirus (Scophthalmus maximus rhabdovirus),Fish,Y,Y,N,N,N,,Zhang_2007_DisAquatOrgan
Tobaniviridae,Bafinivirus,Fathead minnow nidovirus 1,Fish,N,Y,N,Y,Y,,Batts_2012_JGenVirol
Tobaniviridae,Bafinivirus,White bream virus,Fish,Y,Y,N,N,Y,,Schu_tze_2006_JVI
Tobaniviridae,Oncotshavirus,Chinook salmon bafinivirus (Chinook salmon nodavirus 1),Fish,N,Y,N,N,Y,,Lord_2014_conference proceeding
Togaviridae,Alphavirus,Salmon alphavirus (Salmon pancreas disease virus),Fish,Y,Y,N,Y,Y,,Weston_1999_Virology
Togaviridae,Alphavirus,Wenling fish alphavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Togaviridae,Alphavirus,Wenling hagfish alphavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Totiviridae,Unassigned,Piscine myocarditis like virus,Fish,N,Y,N,N,N,,Mor_2016_Archvirol
Totiviridae,Unassigned,Piscine myocarditis virus,Fish,N,Y,N,Y,N,"old virus, only recently sequenced",Haugland_2011_JVI
