Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Orthomyxoviridae,Isavirus,Wuhan carp islavirus 1,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Isavirus,Wuhan carp islavirus 2,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Wenling hagfish influenza virus,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Wenling orthomyxo-like virus 1,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Wenling orthomyxo-like virus 2,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Wuhan asiatic toad influenza virus,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Wuhan spiny eel influenza virus,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Unassigned,Yancheng orthomyxolike virus ,N,Y,N,N,,Shi_2018_Nature,N
Orthomyxoviridae,Quaranjavirus,Guadeloupe mosquito quaranja-like virus 1,N,Y,N,N,,Shi_2019_Microbiome,N
Orthomyxoviridae,Quaranjavirus,Guadeloupe mosquito quaranja-like virus 2,N,Y,N,N,,Shi_2019_Microbiome,N
Orthomyxoviridae,Quaranjavirus,Guadeloupe mosquito quaranja-like virus 3   ,N,Y,N,N,,Shi_2019_Microbiome,N
Orthomyxoviridae,Quaranjavirus,Quaranfil quantajavirus,Y,Y,Y,Y,,Taylor_1966_AmJTropMed,Y
Orthomyxoviridae,Thogotovirus,Thailand tick thogotovirus  ,N,Y,N,N,,Temnam_2019_Frontiers,N
Orthomyxoviridae,Unassigned,Barns Ness dog whelk orthomyxo-like virus 1   ,N,Y,N,N,,Waldron_2018_PLoS,N
Orthomyxoviridae,Unassigned,Mason Creek Virus,N,Y,N,Y,,Walker_2019_Viruses,N
Orthomyxoviridae,Unassigned,Mason Creek Virus,N,Y,N,N,,Walker_2019_Viruses,N
Orthomyxoviridae,Alphainfluenza,Influenza A virus,Y,Y,Y,Y,,Wille_Holmes_2019_InfluenzaCuttingEdge,Y
Orthomyxoviridae,Betainfluenzavirus,Influenza B virus,Y,Y,Y,Y,,Wille_Holmes_2019_InfluenzaCuttingEdge,Y
Orthomyxoviridae,Gammainfluenzavirus,Influenza C virus,Y,Y,Y,Y,,Matsuzaki_2006_JInfectDis,Y
Orthomyxoviridae,Deltainfluenzavirus,Influenza D virus,N,Y,Y,Y,,Hause_2013_PlosPath,Y
Orthomyxoviridae,Isavirus,Salmon isavirus ( Infectious salmon anemia virus),Y,Y,N,Y,,Rimstad_Mjaaland_2002_APMIS,Y
Orthomyxoviridae,Thogotovirus,"Dhori thogotovirus ( Dhori virus, Batken virus)",Y,Y,Y,Y,,Andersen_1973_IndianJMedRes,Y
Orthomyxoviridae,Thogotovirus,Thogoto thogotovirus (Jos Virus),Y,Y,Y,Y,,Haig_1965_JournalGeneralVirology,Y
